metric_date,open,high,low,close,volume,market_cap
2014-01-01,754.97,775.35,754.97,771.4,22489400.0,9403308145.0
2014-01-02,773.44,820.31,767.21,802.39,38489500.0,9781073920.75
2014-01-03,802.85,834.15,789.12,818.72,37810100.0,9980135396.0
2014-01-04,823.27,859.51,801.67,859.51,38005000.0,10477362436.8
2014-01-05,858.55,952.4,854.52,933.53,72898496.0,11379660685.2
2014-01-06,936.05,1017.12,905.71,953.29,85565696.0,11620533603.2
2014-01-07,946.49,965.74,802.0,802.0,81311696.0,9808299600.0
2014-01-08,795.99,870.68,776.18,842.72,74175600.0,10310363180.0
2014-01-09,841.47,864.36,804.14,846.86,59998600.0,10365397028.0
2014-01-10,846.69,871.19,822.6,868.48,31876800.0,10634081648.0
2014-01-11,867.32,921.48,861.72,913.95,44754200.0,11195636163.8
2014-01-12,919.6,928.52,851.17,863.22,39623500.0,10578653197.5
2014-01-13,860.19,861.29,806.05,841.2,45580900.0,10312375950.0
2014-01-14,843.17,855.69,825.66,833.27,20829800.0,10218535832.2
2014-01-15,833.12,872.81,830.86,860.9,28107200.0,10561305975.0
2014-01-16,860.29,866.16,835.63,835.63,19149300.0,10255185612.0
2014-01-17,834.49,842.91,797.63,814.64,39031700.0,10000663202.0
2014-01-18,816.07,841.49,816.07,840.0,18052700.0,10315662000.0
2014-01-19,839.66,870.96,825.53,870.96,24365700.0,10699504086.0
2014-01-20,871.39,886.39,853.87,870.2,27652700.0,10694453430.0
2014-01-21,869.65,881.2,855.93,863.91,18997300.0,10620283205.2
2014-01-22,867.21,870.15,837.36,845.59,18453700.0,10399573174.0
2014-01-23,845.46,851.57,819.32,822.04,15607100.0,10113558120.0
2014-01-24,822.43,822.43,783.58,797.07,34912000.0,9810138292.5
2014-01-25,796.24,861.45,792.96,853.61,24303900.0,10509539618.8
2014-01-26,853.68,897.02,844.86,885.28,32224300.0,10902798632.0
2014-01-27,884.6,893.0,757.11,771.39,49233600.0,9503544084.75
2014-01-28,774.02,832.5,766.98,812.51,44875500.0,10013251363.5
2014-01-29,809.96,836.87,809.85,826.0,17984400.0,10182659550.0
2014-01-30,826.02,830.5,799.06,819.03,29918200.0,10100339387.2
2014-01-31,818.43,831.87,812.6,829.92,17107900.0,10238411820.0
2014-02-01,828.61,853.52,827.11,832.58,19668700.0,10275202812.0
2014-02-02,832.9,844.72,820.67,825.37,11300900.0,10190038654.2
2014-02-03,824.08,826.48,807.22,823.83,13940100.0,10174774202.2
2014-02-04,823.77,840.17,820.94,827.96,16609700.0,10229342305.0
2014-02-05,829.96,837.32,811.91,811.91,22395100.0,10034436285.5
2014-02-06,815.59,819.81,770.59,781.55,50108700.0,9662791118.75
2014-02-07,783.2,783.2,654.35,712.4,113643000.0,8810607000.0
2014-02-08,699.57,721.82,661.87,673.92,38742600.0,8337738240.0
2014-02-09,671.46,712.27,655.25,682.9,39311400.0,8451228950.0
2014-02-10,681.32,703.71,550.5,681.03,112758000.0,8430742782.0
2014-02-11,683.5,712.46,636.66,672.17,72745200.0,8323817195.0
2014-02-12,672.38,672.9,643.04,651.72,25367600.0,8073458481.0
2014-02-13,651.08,657.99,601.91,605.24,38588100.0,7500376176.0
2014-02-14,601.17,691.72,541.04,661.99,102506000.0,8206805878.25
2014-02-15,660.9,661.84,632.84,650.92,26709200.0,8072579656.0
2014-02-16,651.3,665.1,584.17,616.63,40061700.0,7650358836.75
2014-02-17,614.23,656.95,607.31,626.27,31948400.0,7772386462.0
2014-02-18,627.16,645.76,612.54,626.6,20015100.0,7779035355.0
2014-02-19,625.97,631.77,618.7,623.03,13897800.0,7737830115.25
2014-02-20,623.09,627.73,556.14,556.14,46905000.0,6909538974.0
2014-02-21,556.88,582.96,530.47,574.16,47308100.0,7135603064.0
